input_symbol,expression_symbol,match_mode,expression_row_1based,prevalence_cells,included_after_prevalence
CRYL1,CRYL1,exact,21892.0,15486.0,True
CRYM,CRYM,exact,25539.0,1458.0,True
CS,CS,exact,20964.0,17079.0,True
CSAD,CSAD,exact,20830.0,10595.0,True
CSGALNACT1,CSGALNACT1,exact,14609.0,4051.0,True
CSGALNACT2,CSGALNACT2,exact,19210.0,10910.0,True
CSKMT,CSKMT,exact,17862.0,7401.0,True
CSNK1G2,CSNK1G2,exact,30131.0,18642.0,True
CSNK2A1,CSNK2A1,exact,29152.0,27840.0,True
CSNK2A2,CSNK2A2,exact,26048.0,20222.0,True
CSNK2B,CSNK2B,exact,10622.0,33254.0,True
CSPG4,CSPG4,exact,24689.0,5732.0,True
CSPG5,CSPG5,exact,5845.0,551.0,True
CTH,CTH,exact,1212.0,1761.0,True
CTPS1,CTPS1,exact,846.0,8181.0,True
CTPS2,CTPS2,exact,13445.0,4845.0,True
CTRB1,CTRB1,exact,26306.0,13.0,False
CTRB2,CTRB2,exact,26305.0,18.0,False
CTSA,CTSA,exact,29738.0,25319.0,True
CTSL,CTSL,exact,16251.0,41133.0,True
CUBN,CUBN,exact,19043.0,4650.0,True
CYB5A,CYB5A,exact,29057.0,26902.0,True
CYB5B,CYB5B,exact,26210.0,21034.0,True
CYB5R3,CYB5R3,exact,32823.0,29409.0,True
CYC1,CYC1,exact,15677.0,30602.0,True
CYCS,CYCS,exact,12029.0,42319.0,True
CYGB,CYGB,exact,28266.0,3176.0,True
CYP11A1,CYP11A1,exact,24645.0,3444.0,True
CYP11B1,CYP11B1,exact,15624.0,0.0,False
CYP11B2,CYP11B2,exact,15625.0,0.0,False
CYP17A1,CYP17A1,exact,19821.0,475.0,True
CYP19A1,CYP19A1,exact,24344.0,245.0,True
CYP1A1,CYP1A1,exact,24658.0,32.0,True
CYP1A2,CYP1A2,exact,24659.0,0.0,False
CYP1B1,CYP1B1,exact,3565.0,23990.0,True
CYP21A2,CYP21A2,exact,10664.0,242.0,True
CYP24A1,CYP24A1,exact,29840.0,163.0,True
CYP26A1,CYP26A1,exact,19662.0,1122.0,True
CYP26B1,CYP26B1,exact,3868.0,1731.0,True
CYP26C1,CYP26C1,exact,19660.0,193.0,True
CYP27A1,CYP27A1,exact,5133.0,14000.0,True
CYP27B1,CYP27B1,exact,21027.0,495.0,True
CYP2A13,CYP2A13,exact,31257.0,7.0,False
CYP2A6,CYP2A6,exact,31254.0,22.0,True
CYP2A7,CYP2A7,exact,31255.0,15.0,False
CYP2B6,CYP2B6,exact,31256.0,17.0,False
CYP2C18,CYP2C18,exact,19680.0,12.0,False
